"Date","Labor Productivity","Output","Hours worked","Unit labor costs","Hourly compensation","Real hourly compensation",
"1st Q 2015","1.8","4.9","3.0","0.4","2.3","2.4",
"2nd Q 2015","1.3","3.9","2.6","2.4","3.7","3.7",
"3rd Q 2015","0.8","2.6","1.8","3.0","3.9","3.6",
"4th Q 2015","0.8","2.1","1.3","1.8","2.6","2.1",
"1st Q 2016","0.4","1.8","1.4","1.0","1.4","0.4",
"2nd Q 2016","0.0","1.4","1.4","0.8","0.9","-0.3",
"3rd Q 2016","0.2","1.8","1.6","0.5","0.6","-0.5",
"4th Q 2016","1.3","2.4","1.0","0.6","2.0","0.1",
"1st Q 2017","1.1","2.1","1.0","1.8","3.0","0.4",
"2nd Q 2017","1.0","2.4","1.4","2.2","3.2","1.3",
"3rd Q 2017","1.6","2.8","1.3","2.5","4.1","2.1",
"4th Q 2017","1.4","3.4","2.0","2.9","4.3","2.1",
"1st Q 2018","1.6","3.8","2.1","2.3","3.9","1.7",
"2nd Q 2018","2.1","3.9","1.8","1.7","3.8","1.1",
"3rd Q 2018","1.5","3.7","2.2","2.0","3.5","0.9",
"4th Q 2018","0.9","2.6","1.8","1.6","2.5","0.3",
"1st Q 2019","1.4","2.6","1.2","2.7","4.2","2.5",
"2nd Q 2019","1.7","2.6","0.9","2.1","3.8","1.9",
"3rd Q 2019","1.9","2.7","0.9","1.0","2.9","1.1",
"4th Q 2019","2.6","3.0","0.3","1.5","4.2","2.1",
"1st Q 2020","1.7","0.5","-1.2","2.6","4.3","2.1",
"2nd Q 2020","5.2","-10.4","-14.8","4.9","10.3","9.8",
"3rd Q 2020","6.2","-2.4","-8.1","2.1","8.5","7.0",
"4th Q 2020","4.7","-1.5","-5.9","4.5","9.3","7.9",
"1st Q 2021","5.7","2.2","-3.2","0.7","6.4","4.3",
"2nd Q 2021","2.1","16.3","13.9","0.1","2.2","-2.6",
"3rd Q 2021","-0.2","6.3","6.6","5.6","5.4","0.0",
"4th Q 2021","1.4","7.3","5.8","3.2","4.6","-2.1",
"1st Q 2022","-1.0","4.5","5.5","6.4","5.4","-2.6",
"2nd Q 2022","-2.5","1.9","4.5","7.0","4.3","-4.0",
"3rd Q 2022","-1.5","2.2","3.7","6.4","4.9","-3.2",
"4th Q 2022","-1.8","0.7","2.5","4.9","3.0","-3.9",
"1st Q 2023","-0.8","1.4","2.2","3.8","3.0","-2.6",
